epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,982.034,0.49434,0.41798,0.81496,0.82873,0.78192,0.82984,0.76423,0.41132,0.76708,0.78194,0.000702192,0.000702192,0.000702192
78,994.206,0.49757,0.43359,0.82002,0.78046,0.79628,0.82608,0.77078,0.37535,0.81649,0.77865,0.000689497,0.000689497,0.000689497
79,1006.83,0.49106,0.42427,0.81512,0.7904,0.77427,0.81876,0.76215,0.37943,0.88222,0.77805,0.000676802,0.000676802,0.000676802
80,1019.06,0.4883,0.43278,0.81486,0.80536,0.74346,0.8212,0.76408,0.40281,0.93144,0.78089,0.000664107,0.000664107,0.000664107
81,1031.34,0.49392,0.41827,0.82246,0.79849,0.75916,0.81777,0.76275,0.38486,0.90719,0.77901,0.000651412,0.000651412,0.000651412
82,1043.86,0.48002,0.41637,0.80601,0.76984,0.78493,0.83382,0.78109,0.37968,0.79906,0.77848,0.000638717,0.000638717,0.000638717
83,1056.72,0.48479,0.38478,0.81052,0.7827,0.77668,0.82839,0.76804,0.39609,0.82544,0.77886,0.000626023,0.000626023,0.000626023
84,1068.77,0.48513,0.3843,0.81216,0.79424,0.77565,0.8384,0.78214,0.40249,0.81266,0.78191,0.000613328,0.000613328,0.000613328
85,1080.88,0.47919,0.38275,0.81475,0.81523,0.76431,0.84381,0.78449,0.38702,0.74992,0.78006,0.000600633,0.000600633,0.000600633
86,1093.7,0.48493,0.38546,0.8104,0.7924,0.78347,0.8241,0.75958,0.41957,0.76735,0.7818,0.000587938,0.000587938,0.000587938
87,1106,0.4849,0.39229,0.80438,0.76493,0.75372,0.79318,0.73862,0.38314,0.86459,0.77885,0.000575243,0.000575243,0.000575243
88,1119.3,0.47893,0.39478,0.82174,0.78116,0.76647,0.80932,0.75345,0.38865,0.80732,0.77884,0.000562548,0.000562548,0.000562548
89,1131.55,0.48559,0.39656,0.80731,0.72905,0.79936,0.81477,0.75371,0.40209,0.787,0.78078,0.000549854,0.000549854,0.000549854
90,1144.54,0.47342,0.37081,0.81259,0.75614,0.79884,0.81817,0.76059,0.38651,0.8012,0.77887,0.000537159,0.000537159,0.000537159
91,1156.74,0.4742,0.38434,0.8118,0.79878,0.75926,0.81414,0.76099,0.3804,0.87403,0.778,0.000524464,0.000524464,0.000524464
92,1168.84,0.47537,0.3917,0.81128,0.81486,0.78401,0.82733,0.77129,0.38825,0.82853,0.77788,0.000511769,0.000511769,0.000511769
93,1180.8,0.47174,0.39046,0.81247,0.82265,0.77402,0.81762,0.76794,0.36808,0.87491,0.77691,0.000499074,0.000499074,0.000499074
94,1193.96,0.47946,0.38398,0.80999,0.78459,0.78681,0.83503,0.78703,0.36906,0.7169,0.77733,0.000486379,0.000486379,0.000486379
95,1205.99,0.46901,0.38366,0.80893,0.85448,0.74786,0.83894,0.77826,0.40737,0.74916,0.78071,0.000473684,0.000473684,0.000473684
96,1219.06,0.47366,0.36549,0.80794,0.78554,0.78717,0.84358,0.77481,0.42542,0.73959,0.78336,0.00046099,0.00046099,0.00046099
97,1231.19,0.46444,0.36426,0.80599,0.80552,0.75772,0.81902,0.76414,0.395,0.88098,0.78033,0.000448295,0.000448295,0.000448295
98,1244.21,0.46253,0.33965,0.80814,0.79808,0.79025,0.82608,0.76798,0.39366,0.8306,0.77837,0.0004356,0.0004356,0.0004356
99,1256.16,0.46748,0.3633,0.80809,0.77297,0.80146,0.83626,0.78598,0.37619,0.78829,0.77681,0.000422905,0.000422905,0.000422905
100,1269,0.46208,0.35628,0.8104,0.79001,0.77881,0.81067,0.76356,0.37096,0.80522,0.77547,0.00041021,0.00041021,0.00041021
101,1281.23,0.4664,0.3447,0.81135,0.79473,0.78023,0.81529,0.76239,0.37451,0.79651,0.77552,0.000397515,0.000397515,0.000397515
102,1293.31,0.46175,0.34925,0.8046,0.78241,0.78736,0.80991,0.75362,0.38723,0.83126,0.77681,0.000384821,0.000384821,0.000384821
103,1305.49,0.46952,0.35246,0.81027,0.74912,0.79778,0.81558,0.75313,0.40351,0.81232,0.77921,0.000372126,0.000372126,0.000372126
104,1318.47,0.45579,0.33948,0.80881,0.78915,0.78575,0.8166,0.7608,0.38512,0.837,0.77781,0.000359431,0.000359431,0.000359431
105,1330.51,0.46456,0.33241,0.80283,0.77764,0.8049,0.82245,0.76,0.41211,0.79308,0.78091,0.000346736,0.000346736,0.000346736
106,1343.42,0.46029,0.33998,0.80698,0.82219,0.74846,0.80016,0.74426,0.38243,0.86205,0.77722,0.000334041,0.000334041,0.000334041
107,1355.29,0.45562,0.32466,0.81011,0.7947,0.77299,0.81634,0.76467,0.3742,0.80323,0.7776,0.000321346,0.000321346,0.000321346
108,1368.32,0.46029,0.32943,0.80725,0.81813,0.76687,0.82417,0.76869,0.38279,0.7955,0.77741,0.000308651,0.000308651,0.000308651
109,1380.57,0.45162,0.32262,0.80824,0.82723,0.76558,0.82212,0.76726,0.37725,0.7975,0.77759,0.000295957,0.000295957,0.000295957
110,1392.82,0.45521,0.32283,0.80672,0.79593,0.78717,0.81491,0.76388,0.36926,0.80808,0.77644,0.000283262,0.000283262,0.000283262
111,1404.86,0.44818,0.31758,0.80366,0.79789,0.75797,0.80563,0.75254,0.37341,0.80903,0.77645,0.000270567,0.000270567,0.000270567
